,017c_7byte
6095,00011010
6112,00011001
6144,00001100
6165,00110110
6172,00011011
6183,00101010
6201,00010001
6217,00110011
6231,00010010
6246,00100001
6263,00011101
6277,00111010
6297,00001110
6317,00011100
6328,00011100
6339,00101000
6343,00100010
6353,00110100
6367,00100011
6380,00001001
6402,00101011
6412,00111010
6420,00010101
6437,00010001
6454,00111110
6466,00110010
6477,00000101
6488,00101100
6504,00110000
6529,00110011
6540,00010111
6558,00111010
6576,00000101
6592,00101110
6632,00000100
6647,00100100
6683,00011010
6692,00111100
6708,00111111
6721,00000011
6726,00111011
6739,00001111
6748,00111110
6764,00111001
6783,00111100
6791,00100110
6804,00110111
6812,00010101
6825,00100100
6836,00111011
6848,00111100
6861,00001001
6871,00100110
6884,00011000
6900,00100010
6919,00010100
6938,00101111
6952,00110100
6965,00000001
6976,00100011
6990,00110000
7007,00010001
7026,00000000
7039,00010000
7052,00101111
7061,00000111
7083,00100001
7092,00011000
7106,00010000
7131,00100000
7146,00011110
7161,00111000
7181,00010010
7198,00110011
7213,00011011
7230,00111000
7247,00010000
7267,00110010
7288,00010000
7300,00010110
7336,00111010
7347,00100101
7367,00110101
7380,00001000
7391,00111000
7411,00001101
7422,00110100
7435,00010011
7455,00110110
7475,00010110
7487,00111110
7500,00000011
7515,00101010
7529,00010110
7547,00100111
7564,00011100
7573,00101001
7594,00000110
7605,00010111
7636,00011110
7646,00110000
7666,00101001
7681,00001011
7698,00111001
7722,00001000
7740,00011100
7757,00111010
7767,00011111
7779,00111010
7801,00000110
7812,00110100
7826,00001011
7843,00001100
7854,00010100
7874,00101100
7880,00100101
7890,00110100
7907,00101010
7921,00001100
7933,00010111
7944,00110110
7958,00010101
7975,00110111
7993,00100011
8006,00110111
8024,00111011
8042,00100110
8053,00110101
8066,00011000
8082,00000001
8091,00010001
8102,00001100
8112,00011011
8127,00010111
8144,00110100
8157,00001100
8168,00111011
8189,00001001
8198,00010100
8216,00101011
8231,00101100
8245,00110100
8258,00110000
8269,00000011
8287,00011110
8304,00011001
8319,00011111
8332,00111110
8351,00111010
8367,00100001
8380,00110000
8388,00001000
8407,00001011
8422,00100000
8439,00100101
8455,00111110
8465,00000111
8486,00011110
8497,00101110
8511,00011101
8527,00111000
8543,00110110
8559,00010011
8575,00011110
8590,00100100
8614,00001101
8631,00111001
8645,00000011
8661,00101011
8674,00111110
8684,00000001
8697,00101110
8709,00101100
8731,00110111
8741,00001010
8749,00010001
8770,00011010
8785,00111101
8800,00011010
8813,00101001
8828,00111000
