,017c_7byte
27339,00101111
27345,00110000
27355,00000110
27376,00110010
27386,00111011
27397,00001110
27408,00101110
27418,00011100
27429,00101011
27440,00110100
27447,00010011
27458,00100010
27469,00100001
27483,00110001
27496,00110100
27506,00000110
27527,00001011
27544,00100000
27557,00101110
27573,00000011
27594,00111011
27604,00001010
27617,00111010
27622,00010100
27633,00101110
27648,00100010
27663,00000000
27675,00000000
27690,00000011
27712,00110111
27722,00001010
27731,00101011
27752,00111010
27768,00010000
27780,00101110
27793,00000011
27804,00010010
27809,00000110
27819,00010101
27836,00010110
27852,00001111
27872,00000100
27886,00001111
27902,00110110
27917,00110000
27931,00010011
27946,00101111
27962,00100010
27976,00101100
27986,00000110
27997,00010101
28001,00111100
28018,00001111
28028,00010010
28037,00111110
28049,00111110
28063,00000011
28082,00100001
28086,00000010
28095,00010000
28105,00100000
28124,00010000
28141,00010101
28159,00101111
28169,00011001
28185,00101000
28193,00101110
28204,00111000
28214,00011001
28225,00111010
28249,00001000
28257,00100011
28268,00110010
28271,00011001
28285,00101000
28289,00100001
28301,00110000
28317,00010010
28338,00100000
28350,00010001
28369,00000010
28385,00100001
28402,00011010
28425,00001011
28433,00000111
28459,00001101
28472,00011100
28489,00001011
28497,00110000
28522,00100111
28533,00110101
28536,00001110
28546,00011101
28559,00011110
28571,00111101
28589,00101111
28601,00110011
28622,00100110
28631,00011000
28645,00101001
28657,00000000
28673,00111010
28698,00001000
28706,00010011
28725,00011100
28744,00101101
28753,00011001
28767,00101000
28784,00100110
28801,00001111
28809,00110100
28825,00110110
28845,00010011
28856,00001110
28866,00010111
28886,00101000
28897,00011101
28919,00110011
28934,00010010
28949,00001001
28961,00001110
28973,00011101
28985,00110001
28996,00000100
28998,00110011
29011,00000110
29022,00011011
29035,00101000
29053,00100010
29068,00110101
29079,00100001
29091,00110100
29101,00000111
29110,00111010
29121,00011110
29132,00101101
29138,00010011
29148,00100010
29153,00110110
29162,00001101
29175,00011011
29193,00011111
29203,00101110
29215,00111000
29225,00100011
29246,00110101
29257,00001001
29291,00100110
29307,00001111
29324,00011110
29329,00000110
29346,00101100
29364,00100101
29387,00111010
29402,00010101
29412,00101101
29427,00111100
29442,00110001
29456,00010100
29474,00011100
29483,00110011
29493,00000011
29500,00111110
29516,00101101
29530,00111100
29540,00100110
29560,00100101
29571,00111001
29581,00001100
29592,00011010
29608,00100111
29624,00001000
29635,00000000
29649,00011111
29659,00011011
29680,00101111
29698,00100001
29706,00101001
29726,00011000
29738,00010011
29749,00100010
29763,00001000
29774,00001000
29789,00010111
29797,00110111
29817,00101111
29825,00011100
29837,00101011
29841,00100000
29855,00111111
29869,00010100
29885,00100000
29898,00000000
29919,00111111
29932,00000010
29946,00100110
29960,00110101
29969,00100011
29991,00001011
29999,00101111
30013,00111110
30023,00111000
30039,00100000
30051,00001100
30069,00100100
30085,00110011
30095,00010000
30110,00101001
30132,00001111
30142,00101001
30156,00011000
30173,00111101
30187,00000000
30196,00011100
30228,00011101
30245,00101101
30261,00001011
30278,00010101
30293,00100100
30304,00101011
30315,00110001
30333,00100000
30346,00111101
30363,00101011
30377,00101011
30388,00111010
30401,00100010
30410,00110001
30414,00011110
30427,00101101
30431,00101110
30441,00111101
30451,00010100
30466,00110100
30485,00100110
30501,00100101
30513,00110100
30523,00010000
30539,00001011
30554,00110011
30566,00100000
30575,00111111
30590,00000100
30598,00000100
30607,00010011
30620,00100010
30627,00110011
30638,00111101
30650,00000110
30660,00110010
30675,00110010
30691,00100001
30706,00110001
30720,00000100
30736,00100100
30744,00000000
30754,00011111
30761,00001111
30772,00010011
30780,00100010
30796,00011101
30813,00110000
30826,00000011
30840,00100111
30853,00111011
30869,00011111
30883,00101001
30893,00111100
30894,00111101
30907,00000000
30920,00010011
30935,00001011
30947,00011010
30955,00011000
30974,00010011
30990,00100100
31005,00111000
31022,00111001
31040,00000100
31050,00010011
31061,00111000
31080,00100000
31095,00010100
31117,00000110
31125,00010010
31150,00110011
31171,00011101
31187,00000100
31196,00011100
31211,00011000
31219,00100101
31231,00001101
31245,00001001
31260,00011001
31272,00101000
31286,00111010
31302,00110011
31316,00000000
31333,00111011
31348,00100011
31365,00010010
31384,00011100
31394,00100111
31405,00001010
31420,00000101
31438,00000010
31452,00100011
31463,00010010
31472,00100001
31501,00010011
31511,00100101
31524,00011110
31540,00101100
31559,00001100
31574,00000000
31589,00011100
31604,00000100
31621,00000110
31636,00010110
31638,00100111
31652,00111101
31668,00110000
31685,00011110
31694,00100010
31717,00110100
31731,00100111
31743,00000010
31757,00010001
31784,00110110
31799,00110110
31831,00001010
31852,00011110
31870,00101100
31890,00100001
31899,00100000
31916,00010110
31932,00100111
31953,00011011
31977,00001110
31995,00110001
32008,00011100
32021,00001101
32042,00011001
32071,00001101
32086,00101010
32101,00111001
32113,00011011
32125,00000000
32139,00101010
32160,00010100
32168,00010100
32177,00100011
32189,00001101
32213,00011100
32233,00110101
32247,00101110
32258,00101001
32269,00110110
32278,00000111
32294,00001011
32309,00000010
32325,00111011
32338,00001110
32349,00001100
32358,00011011
32367,00101010
32381,00010111
32394,00010000
32406,00100000
32415,00111111
32431,00111110
32444,00111111
32458,00000010
32470,00110000
32481,00110101
32493,00001000
32501,00100011
32517,00100110
32532,00110110
32545,00001001
32554,00011000
32564,00001001
32575,00011000
32590,00011110
32605,00011110
32617,00100001
32640,00100100
32658,00100100
32671,00110101
32684,00001000
32694,00010000
32708,00011011
32723,00100011
32744,00101100
32753,00101000
32769,00100111
32781,00111000
32790,00011000
32804,00100111
32810,00100101
32827,00010010
32842,00000110
32862,00110011
32881,00100001
32898,00000100
32911,00101111
32923,00111110
32935,00111101
32942,00111001
32955,00001100
32962,00011010
32987,00101110
32993,00101111
33005,00111110
33006,00100000
33019,00111111
33031,00010001
33044,00100000
33055,00000001
33066,00111110
33082,00101101
33093,00111100
33103,00000000
33114,00111101
33138,00101011
33151,00010111
33164,00100110
33175,00110110
33195,00100110
33198,00101001
33209,00111000
33225,00000100
33239,00001110
33255,00111101
33275,00010110
33297,00011011
33313,00100010
33325,00011110
33339,00011001
33356,00110111
33373,00111000
33383,00001011
33398,00001110
33414,00101111
33431,00010000
33447,00000110
33469,00111001
33479,00001110
33491,00010101
33501,00100100
33515,00100011
33534,00100010
33550,00000110
33563,00001000
33582,00100110
33594,00100110
33610,00101010
33625,00111001
33639,00011111
33651,00010010
33661,00100010
33675,00010101
33684,00110101
33703,00000110
33715,00100101
33731,00010010
33741,00100001
33756,00111111
33775,00101110
33811,00111110
33819,00011000
33829,00100111
33834,00101001
33851,00111000
33867,00011111
33882,00010010
33889,00010110
33899,00101010
33909,00001010
33923,00111110
33933,00000001
33939,00001110
33962,00111011
33972,00001110
33983,00111101
33998,00100101
34010,00101010
34034,00111011
34042,00010010
34052,00100001
34058,00010011
34068,00100010
34085,00101010
34098,00001110
34121,00011000
34135,00111110
34146,00111100
34156,00001111
34161,00001001
34179,00111011
34189,00001101
34207,00110101
34223,00011101
34236,00000001
34248,00001101
34271,00110001
34281,00001000
34300,00101101
34316,00111100
34323,00000010
34347,00011111
34354,00101100
34376,00010111
34388,00101000
34404,00010001
34414,00100000
34429,00110100
34445,00011010
34461,00110001
34470,00000111
34482,00010110
34492,00101110
34508,00010100
34521,00100011
34527,00010101
34539,00100100
34552,00011111
34564,00100110
34579,00111100
34595,00100010
34616,00110101
34641,00010101
34650,00001111
34673,00110011
34679,00110001
34692,00000100
34706,00001011
34715,00100011
34727,00110010
34749,00111011
34757,00000000
34768,00101001
34780,00111111
34787,00101100
34804,00111011
34819,00010001
34836,00011010
34849,00101001
34858,00100111
34869,00110110
34877,00100000
34891,00110011
34917,00100100
34927,00010111
34944,00101011
34956,00110111
34971,00010110
34977,00000101
34995,00101100
35010,00010001
35026,00000000
35036,00010011
35048,00001000
35060,00010111
35069,00110100
35087,00001010
35098,00100001
35109,00110000
35119,00101110
35130,00001010
35151,00001110
35161,00010101
35172,00100100
35191,00000110
35210,00001010
35220,00011000
35239,00000010
35249,00110010
35272,00100000
35283,00011011
35296,00101010
35311,00110100
35326,00010101
35340,00010001
35361,00100010
35373,00000010
35390,00010010
35407,00101111
35420,00111101
35431,00101111
35445,00110010
35460,00110010
35477,00110011
35495,00100101
35509,00011001
35520,00101010
35532,00010111
35549,00000100
35564,00001001
35578,00101011
35596,00100001
35607,00011101
35616,00101101
35628,00111010
35639,00001101
35657,00100111
35671,00101011
35683,00111000
35694,00111111
35704,00000010
35714,00010001
35724,00100001
35733,00010110
35743,00000110
35756,00010101
35770,00101011
35787,00000100
35807,00010100
35820,00111011
35837,00111001
35853,00011101
35872,00001001
35895,00101110
35912,00001000
35924,00100100
35943,00000001
35962,00111000
35968,00111010
35979,00001101
35989,00101011
36003,00111010
36017,00010000
36028,00011010
36049,00001010
36066,00110111
36082,00111001
36097,00011011
36108,00101010
36119,00101001
36136,00001111
36167,00110111
36185,00011001
36197,00001000
36218,00010100
36228,00100010
36241,00110000
36251,00000011
36273,00111111
36289,00010011
36299,00100011
36321,00010111
36333,00101000
36349,00110111
36359,00001010
36374,00001010
36385,00001001
36407,00110111
36423,00110110
36433,00001011
36444,00011101
36453,00111001
36467,00001100
36477,00111001
36494,00011111
36506,00001101
36516,00011011
36526,00101010
36537,00010001
36558,00110011
36575,00000111
36586,00010110
36594,00101000
36604,00110111
36618,00111110
36628,00110110
36644,00101111
36664,00111011
36684,00101101
36696,00101110
36708,00111101
36713,00111100
36737,00110010
36742,00101011
36752,00111010
36759,00110110
36782,00110010
36803,00011001
36818,00111011
36842,00000101
36854,00010010
36869,00101111
36882,00100010
36893,00110001
36897,00110110
36912,00001110
36927,00011101
36938,00011101
36963,00101100
36970,00010011
36986,00000100
36997,00010011
37002,00000110
37013,00011100
37027,00001000
37036,00011010
37050,00101010
37062,00011000
37082,00100110
37097,00100010
37110,00110110
37130,00000100
37146,00000000
37157,00011111
37170,00011101
37186,00100101
37194,00100000
37205,00110010
37210,00110111
37234,00001010
37259,00011001
37274,00101000
37288,00011111
37303,00010100
37319,00111011
37337,00100111
37357,00010001
37362,00110110
37387,00010000
37413,00111101
37419,00101111
37438,00111001
37454,00001001
37476,00001001
37483,00100100
37496,00111011
37510,00110000
37528,00101000
37537,00000100
37548,00010011
37555,00010011
37565,00100010
37573,00100001
37586,00001000
37603,00000110
37618,00010101
37626,00111010
37637,00001101
37645,00111010
37660,00011010
37674,00111110
37699,00111101
37710,00000011
37730,00010111
37741,00100110
37749,00101000
37768,00000000
37778,00110000
37789,00000011
37796,00000010
37821,00111111
37825,00100100
37842,00110010
37853,00000101
37866,00010011
37876,00100001
37883,00010000
37906,00111110
37922,00111111
37932,00000110
37954,00110001
37965,00000100
37971,00010100
37991,00000110
38003,00100111
38023,00110101
38041,00011010
38059,00110100
38073,00110111
38085,00001010
38098,00011010
38107,00101000
38126,00110010
38140,00101111
38159,00101100
38178,00010000
38187,00011010
38197,00101001
38217,00100111
38226,00001000
38250,00100000
38264,00001100
38275,00101001
38297,00111011
38314,00011010
38324,00101001
38339,00101100
38351,00101001
38368,00101101
38381,00111100
38399,00010001
38421,00011110
38429,00011110
38442,00101101
38460,00011010
38471,00111110
38483,00010001
38506,00000010
38515,00011110
38531,00111111
38547,00000010
38563,00100100
38572,00110010
38590,00010101
38603,00100010
38622,00001001
38638,00110110
38652,00010000
38665,00101111
38679,00110110
38696,00101010
38711,00111011
38722,00101011
38738,00100001
38749,00110100
38756,00011101
38772,00001011
38783,00011010
38800,00110101
38811,00101101
38827,00000100
38847,00111011
38859,00101110
38874,00110000
38890,00010001
38903,00100000
38918,00011000
38941,00100110
38949,00110101
38962,00110010
38977,00001010
38988,00011001
38994,00001110
39011,00011100
39024,00100010
39039,00000110
39049,00110100
39069,00011111
39088,00001110
39109,00001011
39123,00101001
39133,00011100
39146,00101011
39160,00100000
39174,00010010
39191,00000000
39208,00100000
39222,00100011
39236,00110101
39249,00001000
39260,00010011
39275,00010000
39296,00100011
39310,00011110
39326,00000111
39339,00101011
39359,00101001
39379,00011000
39389,00101011
39395,00110011
39405,00000110
39413,00111111
39426,00000000
39444,00111100
39460,00110101
39475,00001101
39492,00011100
39498,00000010
39522,00001000
39531,00001010
39549,00011011
39557,00100011
39565,00010001
39573,00100000
39581,00011101
39596,00011011
39606,00101111
39620,00001100
39639,00011001
39654,00101101
39676,00010000
39683,00000011
39700,00100111
39716,00110110
39724,00001011
39747,00011001
39761,00111000
39772,00111001
39790,00000010
39804,00101111
39820,00100101
39834,00110100
39844,00001100
39862,00000011
39881,00110100
39895,00110111
39913,00111110
39929,00110001
39939,00000001
39949,00100000
39965,00100001
39984,00110001
39996,00100110
40014,00001101
40034,00010111
40046,00001110
40061,00011101
40070,00101100
40089,00110010
40101,00001001
40119,00100000
40138,00010011
40149,00000001
40166,00101111
40181,00111110
40190,00100111
40206,00101001
40224,00010001
40240,00011101
40254,00111110
40269,00101100
40281,00111011
40294,00110010
40309,00100111
40326,00001100
40343,00011101
40357,00111101
40374,00001100
40391,00000001
40402,00010001
40415,00111010
40428,00110000
40445,00101011
40467,00110010
40477,00110111
40490,00010111
40501,00100110
40512,00100000
40525,00111111
40532,00001011
40547,00111000
40564,00000110
40577,00111101
40589,00001111
40595,00111010
40613,00000000
40623,00101110
40632,00111100
40645,00001111
40656,00000000
40663,00101110
40674,00111101
40689,00101111
40699,00101101
40714,00011011
40736,00100000
40751,00110000
40764,00000011
40777,00100100
40790,00110111
40809,00101001
40820,00011001
40833,00101001
40845,00111000
40851,00010110
40869,00101001
40880,00111000
40891,00110100
40905,00100110
40915,00110101
40928,00000000
40937,00111001
40959,00111010
40978,00001101
40989,00110111
41002,00001010
41017,00000010
41033,00010000
41052,00010011
41057,00010010
41085,00010010
41096,00000111
41114,00100011
41125,00110010
41136,00010101
41151,00100100
41165,00110100
41182,00100101
41199,00001010
41214,00110110
41231,00110101
41241,00001000
41250,00001001
41272,00011000
41284,00100110
41300,00011000
41309,00100111
41314,00001011
41334,00101011
41351,00011010
41360,00101001
41369,00011011
41379,00101010
41390,00100111
41405,00010111
41420,00110110
41433,00101101
41451,00110111
41461,00001011
41466,00111110
41476,00000000
41491,00111101
41501,00000000
41510,00001100
41521,00011110
41531,00101100
41537,00101100
41564,00011010
41572,00011101
41586,00101101
41600,00111100
41610,00000001
41633,00010010
41647,00100100
41663,00000101
41676,00110001
41693,00011011
41714,00011000
41724,00100111
41736,00100101
41755,00111000
41761,00000010
41788,00011010
41794,00100100
41810,00100110
41838,00010101
41866,00101001
41878,00000011
41892,00010010
41906,00110111
41913,00110010
41923,00000101
41930,00011110
41941,00100011
41945,00111111
41955,00000010
41970,00100111
41991,00100111
42002,00101100
42026,00011011
42039,00011000
42048,00111000
42058,00001001
42079,00100100
42091,00100000
42108,00000100
42130,00010111
42138,00100011
42171,00111110
42184,00000001
42195,00001001
42213,00110110
42231,00001011
42246,00001110
42257,00001100
42265,00011011
42279,00110111
42294,00010000
42309,00101111
42320,00001110
42334,00111011
42349,00011010
42365,00110011
42380,00011110
42394,00101011
42404,00111010
42418,00001111
42438,00001001
42457,00111011
42475,00001101
42479,00100010
42488,00110001
42500,00110101
42519,00101111
42530,00111111
42538,00101100
42556,00110000
42577,00011011
42594,00100100
42604,00111111
42624,00110111
42637,00001000
42647,00101100
42661,00011000
42670,00011111
42683,00100001
42696,00100010
42706,00000000
42716,00011111
42721,00010000
42738,00110001
42751,00000010
42766,00111010
42786,00000000
42796,00111100
42818,00010111
42827,00011101
42841,00011001
42854,00100010
42871,00100011
42891,00010000
42898,00111010
42916,00011101
42935,00000000
42950,00101101
42964,00011011
42977,00101010
42989,00010111
43005,00111011
43020,00001000
43037,00000101
43054,00100100
43064,00011101
43074,00101001
43087,00111111
43096,00000010
43107,00100000
43124,00110010
43133,00000101
43139,00000100
43155,00100110
43171,00010000
43187,00111001
43197,00001100
43203,00101000
43217,00110011
43233,00010111
43238,00110110
43246,00001001
43259,00001011
43282,00000101
43291,00100100
43315,00100010
43327,00000010
43341,00010001
43342,00110001
43350,00000100
43371,00110101
43380,00011100
43396,00001010
43413,00110110
43431,00100001
43447,00011000
43459,00100110
43470,00000101
43487,00110101
43498,00010000
43507,00101111
43519,00001011
43531,00001101
43542,00100111
43554,00110110
43565,00000001
43579,00010000
43590,00001101
43608,00011011
43621,00101001
43637,00001001
43658,00001101
43670,00110100
43682,00011000
43692,00101000
43703,00101000
43715,00110111
43726,00110111
43742,00010101
43757,00100001
43776,00010100
43787,00000100
43807,00011111
43819,00101110
43831,00111001
43844,00111011
43858,00000001
43867,00010000
43876,00011111
43894,00101100
43902,00001101
43912,00011100
43924,00111101
43938,00000000
43948,00110001
43966,00101111
43984,00101110
43996,00001101
44014,00100010
44026,00010010
44043,00000111
44054,00010110
44063,00010011
44077,00100010
44086,00000111
44102,00001110
44115,00010101
44131,00110011
44156,00101101
44159,00100010
44170,00110000
44195,00101010
44203,00010101
44227,00100100
44235,00010101
44259,00100110
44268,00010000
44283,00000101
44294,00010100
44313,00001001
44326,00011111
44345,00000111
44356,00011101
44378,00001101
44387,00001101
44409,00101110
44420,00111100
44433,00101101
44439,00101101
44450,00111101
44464,00101110
44475,00100100
44489,00100011
44509,00010100
44523,00011010
44538,00101001
44552,00001001
44565,00110111
44584,00000111
44594,00010100
44618,00001101
44629,00010100
44642,00001010
44653,00011001
44669,00010110
44686,00110000
44703,00111011
44717,00110101
44726,00000100
44738,00010011
44751,00011001
44768,00101101
44781,00111101
44793,00100001
44802,00100100
44824,00100111
44839,00011110
44849,00100000
44873,00100101
44886,00010000
44897,00101111
44911,00111110
44923,00011011
44938,00100011
44962,00010111
44980,00011110
44987,00101110
45006,00010100
45017,00100011
45026,00010111
45037,00100110
45048,00100000
45058,00110110
45069,00000110
45078,00000001
45095,00001010
45111,00111011
45121,00001110
45131,00011001
45144,00110101
45154,00001000
45170,00111111
45183,00001000
45199,00001100
45206,00101101
45219,00111100
45230,00100011
45244,00110010
45248,00101011
45261,00111010
45263,00111111
45274,00000010
45281,00101100
45299,00001110
45316,00011100
45338,00010111
45349,00100110
45356,00101011
45370,00010110
45381,00100101
45387,00000010
45409,00101010
45425,00100000
45431,00001000
45444,00011111
45460,00110110
45471,00100010
45485,00110001
45492,00001001
45510,00111101
45525,00100000
45546,00011001
45561,00111110
45572,00000001
45583,00001000
45601,00011001
45617,00011001
45630,00101011
45644,00000000
45663,00011000
45677,00100111
45688,00101000
45697,00010110
45717,00101100
45734,00011011
45751,00001011
45766,00111110
45781,00111010
45795,00001101
45804,00110010
45818,00011101
45838,00010010
45857,00101110
45870,00110101
45890,00001000
45901,00010111
45909,00111110
45925,00011010
45945,00100010
45963,00001110
45977,00001110
45987,00011101
46011,00001001
46028,00111111
46047,00000011
46063,00110001
46076,00111110
46098,00100010
46113,00100001
46125,00110011
46132,00110010
46148,00010010
46162,00000011
46180,00010010
46198,00110100
46211,00110000
46228,00011110
46241,00101101
46250,00011111
46271,00101110
46287,00010100
46306,00001011
46313,00001111
46323,00011101
46332,00110001
46348,00110010
46361,00000101
46379,00100100
46388,00110010
46406,00000010
46422,00100011
46440,00110100
46452,00100100
46468,00000110
46481,00010101
46492,00010100
46507,00100000
46523,00110000
46532,00000011
46538,00001001
46554,00101110
46577,00110101
46587,00010011
46596,00100010
46610,00010001
46620,00100000
46626,00101000
46639,00010010
46649,00100101
46658,00100100
46680,00110100
46690,00011010
46700,00101001
46705,00100101
46721,00110100
46729,00000111
46745,00000101
46767,00101011
46777,00001000
46792,00000110
46805,00010101
46814,00100001
46833,00011110
46843,00101101
46852,00100110
46873,00110111
46885,00001110
46895,00011011
46903,00101010
46919,00011111
46934,00011101
46947,00000111
46961,00010110
46978,00110110
46987,00001011
47009,00111001
47018,00001010
47037,00100100
47049,00000001
47070,00010001
47080,00100000
47086,00101110
47099,00111101
47104,00101111
47123,00111010
47133,00001101
47138,00100000
47162,00111011
47169,00000011
47191,00110000
47201,00000011
47213,00000010
47230,00010100
47244,00000100
47278,00010110
47294,00101110
47307,00110000
47319,00000011
47333,00111011
47348,00111010
47366,00010001
47379,00000010
47394,00010001
47411,00000101
47426,00010011
47441,00100001
47453,00110101
47467,00100100
47484,00000011
47500,00010111
47515,00001000
47531,00101100
47547,00011000
47563,00100000
47577,00111111
47587,00000110
47609,00001100
47619,00011001
47639,00010100
47658,00111010
47669,00010000
47688,00011100
47701,00101011
47705,00110000
47730,00101000
47736,00011100
47749,00101011
47762,00000010
47772,00110001
47783,00001010
47796,00011001
47801,00101010
47813,00111001
47834,00100100
47845,00110011
47856,00011110
47869,00101101
47875,00010011
47898,00110011
47912,00110100
47919,00000011
47929,00010010
47947,00110001
47969,00110001
47987,00011000
48002,00001010
48017,00011110
48025,00111001
48041,00111000
48054,00001011
48066,00010000
48087,00011001
48103,00010000
48111,00100101
48124,00110100
48134,00011110
48154,00101100
48175,00001111
48190,00001011
48205,00100111
48224,00010111
48241,00010111
48258,00001100
48267,00100100
48282,00110011
48293,00101100
48310,00010010
48332,00110101
48342,00011001
48358,00000100
48374,00000101
48389,00100111
48404,00110101
48414,00010111
48430,00100110
48442,00011000
48452,00100110
48462,00100100
48479,00000111
48491,00110101
48501,00001000
48511,00000110
48525,00010101
48537,00100010
48557,00111101
48567,00000101
48587,00110100
48603,00111110
48615,00011011
48627,00000111
48641,00010110
48658,00010000
48684,00101100
48715,00101010
48751,00100100
48791,00100000
48807,00000011
48819,00000001
48842,00011000
48852,00000001
48873,00010000
48884,00101011
48895,00001010
48911,00110001
48926,00001000
48943,00110111
48959,00100010
48975,00001100
48994,00111101
49015,00001101
49030,00111001
49045,00111000
49064,00001011
49077,00111000
49092,00100111
49101,00110110
49108,00110011
49123,00000110
49132,00100001
49150,00001011
49164,00111000
49189,00111100
49202,00011110
49212,00000100
49234,00101011
49245,00111011
49251,00011100
49267,00000011
49277,00010010
49282,00010101
49298,00001010
49321,00010000
49329,00011000
49341,00100111
49349,00010101
49362,00100100
49377,00101011
49388,00011101
49402,00000101
49413,00010100
49421,00010010
49434,00100110
49443,00110101
49450,00011001
49462,00111001
49476,00001100
49489,00111010
49507,00011011
49530,00000110
49544,00011000
49562,00110101
49569,00010110
49589,00100100
49599,00110010
49606,00110110
49619,00001001
49626,00110011
49644,00010010
49662,00000111
49683,00011000
49692,00100101
49710,00100101
49723,00110100
49731,00100101
49747,00000101
49763,00110001
49779,00010100
49789,00100011
49795,00000101
49811,00001000
49821,00010111
49828,00110011
49838,00001000
49849,00100100
49872,00110001
49881,00000101
49897,00000010
49910,00010001
49918,00100001
49929,00010001
49941,00101101
49950,00101100
49964,00111011
49977,00001111
49985,00111000
50003,00111100
50022,00101001
50033,00010111
50044,00100110
50050,00001000
50065,00000101
50079,00010100
50089,00010010
50099,00100000
50105,00101010
50128,00000100
50137,00000011
50154,00101111
50168,00101110
50180,00111101
50185,00110010
50198,00000101
50215,00011001
50225,00001101
50239,00111010
50248,00001101
50266,00110000
50276,00100001
50290,00100111
50305,00100100
50319,00110011
50333,00100100
50351,00011101
50367,00110000
50384,00000001
50397,00010011
50405,00100010
50413,00110100
50428,00001110
50445,00011101
50455,00011001
50471,00110100
50486,00110001
50501,00000101
50511,00101000
50521,00110100
50533,00111000
50549,00010110
50561,00100101
50577,00000101
50591,00000010
50603,00100000
50622,00101111
50645,00000000
50653,00101110
50667,00111011
50682,00001110
50695,00101100
50708,00110110
50723,00000100
50740,00110011
50758,00001111
50767,00001000
50776,00010111
50791,00111110
50805,00000010
50815,00000111
50828,00110000
50850,00001001
50858,00010010
50876,00011011
50893,00011001
50915,00001001
50932,00110110
50955,00010010
50965,00110001
50988,00011001
50995,00010100
51016,00011101
51035,00110010
51039,00111110
51054,00000010
51068,00111110
51084,00001110
51097,00110110
51115,00110111
51138,00101000
51147,00001010
51157,00011001
51158,00011101
51172,00101011
51206,00111001
51242,00010000
51255,00110000
51277,00001100
51286,00110011
51299,00000110
51314,00010001
51326,00100101
51349,00100100
51358,00101000
51375,00011010
51391,00110010
51407,00101001
51432,00010111
51447,00101000
51455,00010110
51464,00100101
51479,00010110
51488,00100101
51501,00110100
51530,00111111
51541,00001101
51551,00010000
51572,00010000
51583,00100110
51601,00101100
51616,00000111
51629,00100001
51648,00101001
51669,00100111
51690,00010101
51704,00000100
51720,00100011
51753,00001010
51766,00000010
51779,00010001
51791,00001010
51813,00111111
51841,00011000
51851,00010000
51861,00101111
51870,00100011
51889,00111001
51900,00001011
51910,00011101
51926,00100011
51948,00111010
51954,00010011
51964,00100010
51977,00011111
51993,00110111
52006,00101111
52020,00111110
52027,00000011
52048,00010000
52063,00010000
52078,00111110
52093,00101000
52104,00111110
52114,00000000
52136,00010000
52147,00011101
52164,00110001
52182,00101110
52201,00011000
52214,00100100
52227,00010111
52241,00101001
52251,00011101
52270,00001000
52279,00110001
52299,00011001
52316,00100011
52330,00101010
52340,00111001
52351,00111111
52364,00000010
52370,00000111
52391,00101100
52402,00111101
52417,00000110
52430,00010111
52443,00100110
52450,00011011
52470,00110110
52483,00001001
52494,00001101
52508,00000110
52530,00000101
52538,00110111
52553,00110001
52578,00100100
52594,00101000
52610,00100101
52621,00110100
52626,00010100
52650,00100100
52658,00110100
52674,00100111
52686,00110101
52709,00010111
52722,00001011
52731,00101111
52754,00000101
52762,00000111
52773,00010110
52781,00011010
52802,00101111
52823,00010111
52836,00010110
52853,00101000
52872,00100010
52883,00100010
52898,00000101
52912,00010100
52923,00000101
52934,00101000
52948,00110111
52954,00011010
52964,00101001
52973,00100111
52989,00110111
53012,00011001
53017,00100010
53033,00110001
53043,00010111
53053,00100110
53057,00000100
53074,00011101
53084,00101100
53096,00011010
53114,00010110
53121,00011011
53131,00101010
53147,00011111
53157,00101110
53159,00010011
53169,00100010
53177,00001111
53197,00000010
53211,00011011
53221,00101010
53233,00011100
53243,00101011
53249,00001111
53271,00101011
53293,00010000
53301,00100010
53323,00011001
53336,00011000
53344,00111010
53354,00001000
53368,00100111
53381,00110110
53392,00110101
53409,00010011
53417,00010001
53427,00100000
53439,00111111
53455,00111101
53465,00000000
53476,00000110
53496,00010110
53505,00001010
53526,00011000
53537,00100010
53555,00100011
53566,00111100
53576,00001111
53595,00101100
53612,00000101
53626,00011010
53637,00101111
53642,00001011
53659,00001110
53675,00011011
53688,00101010
53702,00010101
53716,00100011
53731,00111101
53749,00110000
53763,00000110
53780,00110011
53801,00001101
53827,00101100
53838,00011000
53859,00111011
53867,00000110
53882,00001000
53900,00100011
53911,00110010
53923,00010001
53940,00010111
53951,00100000
53961,00111110
53971,00100001
53991,00000001
54008,00110000
54021,00000011
54029,00111111
54043,00000001
54065,00001111
54076,00001001
54097,00100011
54107,00010110
54130,00001110
54154,00100010
54165,00010101
54181,00110101
54201,00111000
54209,00110000
54225,00011010
54243,00010110
54256,00100101
54270,00001101
54290,00101101
54305,00100101
54317,00111101
54333,00111000
54351,00001111
54365,00101000
54380,00110111
54389,00100001
54407,00010110
54422,00001110
54437,00001010
54454,00110100
54470,00001001
54484,00001110
54500,00011101
54504,00100111
54517,00111100
54528,00011101
54541,00001001
54557,00001110
54576,00111010
54589,00011111
54615,00100110
54634,00000100
54645,00100011
54663,00111110
54681,00101010
54693,00100010
54709,00100100
54725,00111011
54735,00001110
54749,00001011
54778,00111100
54788,00001111
54797,00001000
54835,00111110
54846,00001010
54866,00001110
54882,00011001
54907,00110111
54924,00100100
54935,00100011
54969,00011001
54981,00101000
54992,00101010
55003,00101111
55026,00110101
55039,00000110
55054,00100100
55072,00110010
55088,00010100
55100,00100011
55114,00110110
55122,00001111
55139,00110110
55159,00110010
55175,00000111
55189,00110000
55201,00111010
55215,00001101
55230,00111101
55243,00111101
55261,00011000
55277,00110100
55290,00101010
55301,00111000
