13,00110111
23,00001010
39,00011001
49,00101000
69,00110111
80,00001010
94,00011001
104,00101000
119,00110111
129,00001010
143,00011001
153,00101000
169,00110111
179,00001010
196,00011001
207,00101000
222,00110111
232,00001010
246,00011001
256,00101000
271,00110111
281,00001010
296,00011001
306,00101000
323,00110111
334,00001010
348,00011001
358,00101000
373,00110111
383,00001010
397,00011001
407,00101000
424,00110111
434,00001010
454,00011001
465,00101000
477,00110111
485,00001010
493,00011001
500,00101000
507,00110111
515,00001010
522,00011001
530,00101000
537,00110111
544,00001010
551,00011001
559,00101000
567,00110111
574,00001010
581,00011001
589,00101000
596,00110111
604,00001010
612,00011001
619,00101000
629,00011001
636,00101000
643,00110111
651,00001010
658,00011001
665,00101000
685,00011001
693,00101000
700,00110111
702,00001010
707,00011001
714,00101000
722,00110111
727,00001010
734,00011001
741,00101000
748,00110111
756,00001010
764,00011001
771,00101000
779,00110111
786,00001010
794,00011001
802,00101000
809,00110111
816,00001010
823,00011001
831,00101000
839,00110111
846,00001010
853,00011001
860,00101000
867,00110111
875,00001010
889,00101000
896,00110111
901,00011001
908,00101000
914,00110111
921,00001010
928,00011001
936,00101000
943,00110111
950,00001010
957,00011001
965,00110111
969,00101000
975,00001010
983,00110111
991,00101000
992,00001010
995,00101000
1002,00001010
1016,00001010
1022,00101000
1029,00101000
1046,00101000
1047,00001010
1049,00011001
1055,00101000
1062,00110111
1070,00001010
1077,00011001
1089,00110111
1097,00001010
1111,00101000
1118,00110111
1126,00001010
1133,00011001
1141,00101000
1148,00110111
1154,00001010
1161,00011001
1168,00101000
1176,00110111
1183,00001010
1190,00011001
1198,00101000
1206,00110111
1215,00011001
1222,00101000
1229,00110111
1234,00001010
1240,00011001
1247,00101000
1254,00110111
1266,00101000
1273,00110111
1286,00011001
1293,00101000
1300,00110111
1307,00001010
1314,00011001
1322,00101000
1330,00110111
1337,00001010
1345,00011001
1353,00101000
1360,00110111
1368,00001010
1381,00101000
1388,00110111
1396,00001010
1404,00011001
1412,00101000
1419,00110111
1427,00001010
1434,00011001
1442,00101000
1449,00110111
1457,00001010
1464,00011001
1472,00101000
1479,00110111
1487,00001010
1495,00011001
1502,00101000
1509,00110111
1516,00001010
1530,00101000
1537,00110111
1549,00101000
1556,00110111
1564,00001010
1571,00011001
1579,00101000
1586,00110111
1593,00001010
1601,00011001
1609,00101000
1616,00110111
1624,00001010
